Movie Name,Year of release,Watchtime,Movie Rating,Votes,Gross collection,Director,Cast
Requiem for a Dream,2000,102,8.3,861415,3.64,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']"
Braveheart,1995,178,8.3,1055464,75.6,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
Scarface,1983,170,8.3,865767,45.6,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']"
Once Upon a Time in America,1984,229,8.3,360216,5.32,Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']"
2001: A Space Odyssey,1968,149,8.3,685149,56.95,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']"
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,1077185,309.13,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
A Clockwork Orange,1971,136,8.3,847649,6.21,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']"
Eternal Sunshine of the Spotless Mind,2004,108,8.3,1031014,34.4,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']"
Jagten,2012,115,8.3,341305,0.69,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
Incendies,2010,131,8.3,183955,6.86,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']"
Full Metal Jacket,1987,116,8.3,758505,46.36,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']"
Toy Story,1995,81,8.3,1017637,191.8,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']"
Reservoir Dogs,1992,99,8.3,1042537,2.83,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']"
Hamilton,2020,160,8.3,101332,102.79658653846153,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']"
Up,2009,96,8.3,1068917,293.0,"Directors:Pete Docter, Bob Peterson","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']"
Le fabuleux destin d'Amélie Poulain,2001,122,8.3,769475,33.23,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']"
Lawrence of Arabia,1962,218,8.3,301014,44.82,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"
Mononoke-hime,1997,134,8.3,406580,2.38,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']"
Toy Story 3,2010,103,8.3,854691,415.0,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']"
